Feature type	Feature name
Cytoplasm	Cytoplasm_Texture_Correlation_ER_5_0
Cytoplasm	Cytoplasm_Texture_Correlation_Mito_10_0
Cytoplasm	Cytoplasm_Texture_Correlation_Mito_20_0
Cytoplasm	Cytoplasm_Texture_Correlation_Mito_5_0
Cytoplasm	Cytoplasm_Texture_Correlation_RNA_10_0
Cytoplasm	Cytoplasm_Texture_Correlation_RNA_20_0
Cytoplasm	Cytoplasm_Texture_Correlation_RNA_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_AGP_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_AGP_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_AGP_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_DNA_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_DNA_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_DNA_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_ER_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_ER_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_ER_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_Mito_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_Mito_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_Mito_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_RNA_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_RNA_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceEntropy_RNA_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_AGP_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_AGP_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_AGP_5_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_DNA_10_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_DNA_20_0
Cytoplasm	Cytoplasm_Texture_DifferenceVariance_DNA_5_0
